,_id,goal,target,indicator,seriesCode,seriesDesc,release,geoAreaCode,geoAreaName,parentCode,parentName,type,ISO3,UN_Member,X,Y,boundsCode,boundsDesc,unitsCode,unitsDesc,unitmultiplierCode,unitmultiplierDesc,reportingTypeCode,reportingTypeDesc,valueDetails,footnotes,sources,timeDetails,nature,value_2000,value_2001,value_2002,value_2003,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017,value_latest_year,latest_year,ObjectId
30,34,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,40,Austria,155,Europe,Country,AUT,1,14.14172472,47.58704857,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,17.0,14.0,15.0,13.0,13.0,13.0,12.0,11.0,10.0,9.1,9.1,9.1,8.4,8.4,7.5,7.5,8.2,7.4,7.4,2017.0,34
33,37,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,44,Bahamas,29,Ocean Islands,Country,BHS,1,-78.05111663,24.69546597,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,32.0,24.0,16.0,14.0,19.0,17.0,21.0,15.0,16.0,15.0,9.9,13.0,9.9,10.0,15.0,18.0,26.0,15.0,15.0,2017.0,37
36,40,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,48,Bahrain,145,Asia,Country,BHR,1,50.5490754,26.04407747,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,36.0,31.0,30.0,39.0,34.0,36.0,33.0,33.0,31.0,32.0,23.0,20.0,20.0,18.0,16.0,15.0,12.0,12.0,12.0,2017.0,40
39,43,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,50,Bangladesh,34,Asia,Country,BGD,1,89.17660788,22.86961622,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,2017.0,43
42,46,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,51,Armenia,145,Asia,Country,ARM,1,44.93839317,40.29499741,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,54.0,57.0,59.0,64.0,69.0,92.0,75.0,72.0,71.0,68.0,61.0,55.0,53.0,60.0,57.0,50.0,44.0,36.0,36.0,2017.0,46
45,49,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,52,Barbados,29,Ocean Islands,Country,BRB,1,-59.5346489,13.13648273,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,1.3,2.5,2.1,3.6,8.0,3.9,2.1,6.7,1.2,0.83,2.5,0.0,1.6,1.6,2.0,0.0,1.2,0.0,0.0,2017.0,49
48,52,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,56,Belgium,155,Europe,Country,BEL,1,4.660976456,50.64104975,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,14.0,15.0,13.0,12.0,12.0,12.0,11.0,10.0,10.0,9.7,11.0,10.0,9.4,9.3,9.1,9.5,10.0,9.2,9.2,2017.0,52
51,55,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,60,Bermuda,21,America,Country,BMU,0,-64.78155012,32.27881922,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,0.0,0.0,0.0,5.0,11.0,7.4,5.3,4.6,3.8,2.9,1.8,1.8,5.5,0.0,0.0,0.0,3.7,3.7,3.7,2017.0,55
54,58,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,64,Bhutan,34,Asia,Country,BTN,1,90.45098484,27.39598568,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,249.0,220.0,224.0,206.0,193.0,192.0,171.0,182.0,171.0,197.0,225.0,208.0,188.0,176.0,172.0,153.0,178.0,134.0,134.0,2017.0,58
57,61,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,68,Bolivia (Plurinational State of),5,America,Country,BOL,1,-64.66224284,-16.71273412,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,184.0,179.0,173.0,168.0,163.0,158.0,153.0,148.0,144.0,139.0,135.0,131.0,127.0,123.0,120.0,117.0,114.0,111.0,111.0,2017.0,61
60,64,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,70,Bosnia and Herzegovina,39,Europe,Country,BIH,1,17.78584332,44.16845548,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,82.0,82.0,56.0,59.0,78.0,70.0,59.0,79.0,57.0,58.0,44.0,46.0,48.0,44.0,42.0,39.0,32.0,27.0,27.0,2017.0,64
63,67,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,72,Botswana,18,Africa,Country,BWA,1,23.81380223,-22.18810073,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,914.0,888.0,855.0,816.0,773.0,728.0,684.0,641.0,598.0,557.0,518.0,480.0,445.0,414.0,385.0,356.0,326.0,300.0,300.0,2017.0,67
66,73,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,76,Brazil,5,America,Country,BRA,1,-53.08432878,-10.77668561,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,51.0,48.0,52.0,53.0,54.0,50.0,46.0,45.0,46.0,45.0,44.0,44.0,44.0,44.0,43.0,42.0,42.0,44.0,44.0,2017.0,73
69,76,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,84,Belize,13,America,Country,BLZ,1,-88.70199554,17.19965901,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,49.0,61.0,59.0,42.0,35.0,41.0,34.0,24.0,33.0,32.0,52.0,26.0,29.0,40.0,24.0,25.0,38.0,36.0,36.0,2017.0,76
72,82,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,90,Solomon Islands,54,Ocean Islands,Country,SLB,1,160.1584117,-9.622391719,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,91.0,86.0,74.0,82.0,93.0,106.0,96.0,101.0,96.0,89.0,80.0,92.0,82.0,80.0,75.0,89.0,84.0,76.0,76.0,2017.0,82
75,85,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,92,British Virgin Islands,29,Ocean Islands,Country,VGB,0,-64.63294223,18.42256578,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,5.6,5.5,5.3,5.2,10.0,0.0,0.0,0.0,1.4,2.8,4.2,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2017.0,85
78,88,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,96,Brunei Darussalam,35,Asia,Country,BRN,1,114.6288563,4.49736984,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,106.0,73.0,76.0,68.0,59.0,51.0,63.0,64.0,68.0,64.0,70.0,67.0,70.0,60.0,55.0,58.0,66.0,64.0,64.0,2017.0,88
81,91,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,100,Bulgaria,151,Europe,Country,BGR,1,25.23763153,42.75731323,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,52.0,61.0,53.0,52.0,49.0,52.0,51.0,47.0,49.0,45.0,41.0,37.0,36.0,33.0,32.0,28.0,27.0,25.0,25.0,2017.0,91
84,94,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,104,Myanmar,35,Asia,Country,MMR,1,96.51752295,21.19332882,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,411.0,411.0,410.0,408.0,406.0,403.0,400.0,396.0,392.0,388.0,384.0,380.0,376.0,373.0,369.0,365.0,361.0,358.0,358.0,2017.0,94
87,97,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,108,Burundi,14,Africa,Country,BDI,1,29.89080992,-3.366387428,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,290.0,270.0,250.0,230.0,211.0,195.0,181.0,169.0,160.0,152.0,144.0,138.0,133.0,128.0,126.0,122.0,118.0,114.0,114.0,2017.0,97
90,100,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,112,Belarus,151,Europe,Country,BLR,1,28.04940161,53.54193075,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,86.0,70.0,66.0,77.0,70.0,69.0,67.0,70.0,67.0,69.0,67.0,62.0,63.0,59.0,51.0,50.0,42.0,37.0,37.0,2017.0,100
93,103,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,116,Cambodia,35,Asia,Country,KHM,1,104.922836,12.71163737,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,575.0,567.0,556.0,542.0,527.0,511.0,496.0,480.0,465.0,450.0,436.0,423.0,411.0,400.0,390.0,368.0,345.0,326.0,326.0,2017.0,103
96,106,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,120,Cameroon,17,Africa,Country,CMR,1,12.7419827,5.692387031,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,309.0,317.0,321.0,321.0,318.0,311.0,303.0,292.0,282.0,271.0,260.0,251.0,242.0,235.0,220.0,212.0,203.0,194.0,194.0,2017.0,106
98,108,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,380,Italy,39,Europe,Country,ITA,1,12.57022427,42.79917282,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,7.0,8.6,7.8,8.6,7.8,7.5,8.1,5.3,8.0,7.9,8.7,6.6,6.0,5.8,6.7,6.7,7.3,7.4,7.4,2017.0,108
101,111,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,384,Côte d'Ivoire,11,Africa,Country,CIV,1,-5.552690016,7.62211586,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,367.0,350.0,330.0,309.0,288.0,267.0,249.0,233.0,219.0,207.0,196.0,186.0,178.0,170.0,165.0,159.0,153.0,148.0,148.0,2017.0,111
104,114,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,388,Jamaica,29,Ocean Islands,Country,JAM,1,-77.31068409,18.15616857,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,6.0,5.6,4.9,5.5,5.3,4.1,4.3,4.7,4.7,6.2,5.8,4.6,4.0,4.2,3.8,4.5,4.5,5.1,5.1,2017.0,114
107,117,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,392,Japan,30,Asia,Country,JPN,1,139.2716103,36.6554539,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,36.0,32.0,30.0,28.0,27.0,24.0,23.0,22.0,22.0,21.0,20.0,20.0,19.0,18.0,18.0,16.0,16.0,15.0,15.0,2017.0,117
110,120,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,398,Kazakhstan,143,Asia,Country,KAZ,1,66.65359159,48.01963494,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,166.0,183.0,194.0,199.0,197.0,186.0,172.0,163.0,156.0,151.0,145.0,135.0,120.0,104.0,91.0,80.0,72.0,66.0,66.0,2017.0,120
113,123,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,400,Jordan,145,Asia,Country,JOR,1,37.13024774,30.65365973,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,7.5,8.2,7.4,7.4,7.3,8.0,7.9,6.8,6.9,6.8,5.9,5.4,5.2,5.2,5.5,5.8,5.5,6.8,6.8,2017.0,123
116,126,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,404,Kenya,14,Africa,Country,KEN,1,37.86096816,0.534797278,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,451.0,499.0,534.0,610.0,634.0,630.0,646.0,618.0,564.0,566.0,531.0,506.0,471.0,443.0,423.0,380.0,348.0,319.0,319.0,2017.0,126
119,129,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,408,Democratic People's Republic of Korea,30,Asia,Country,PRK,1,127.1803633,40.1462645,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,2017.0,129
122,132,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,410,Republic of Korea,30,Asia,Country,KOR,1,127.8610254,36.45201023,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,49.0,84.0,78.0,82.0,77.0,94.0,92.0,91.0,88.0,94.0,95.0,99.0,94.0,89.0,85.0,79.0,77.0,70.0,70.0,2017.0,132
125,135,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,414,Kuwait,145,Asia,Country,KWT,1,47.49305029,29.53949468,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,29.0,27.0,31.0,30.0,29.0,26.0,31.0,30.0,38.0,38.0,37.0,24.0,25.0,22.0,22.0,22.0,24.0,27.0,27.0,2017.0,135
128,138,3,3.3,2002-03-03T00:00:00,SH_TBS_INCID,"Tuberculosis incidence (per 100,000 population)",2019.Q2.G.01,417,Kyrgyzstan,143,Asia,Country,KGZ,1,74.52324839,41.46204516,_T,Mid-point,PER_100000_POP,"Per 100,000 population",,,G,Global,,"Data extracted as of 20 January 2019, based on data originally compiled for the 2018 WHO Global TB Report",WHO Global Tuberculosis Report 2018 (http://www.who.int/tb/data/),,E: Estimated data,244.0,246.0,243.0,235.0,224.0,210.0,195.0,179.0,165.0,153.0,145.0,141.0,140.0,141.0,142.0,144.0,144.0,144.0,144.0,2017.0,138
