,ConditionName,ConditionSNOMED,PathogenName,PathogenTaxonID,Fatalities,CountryName,CountryISO,Admin1Name,Admin1ISO,Admin2Name,CityName,PeriodStartDate,PeriodEndDate,AgeRange,SourceName,CountValue,Year
293638,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,CALIFORNIA,US-CA,SAN BERNARDINO COUNTY,SAN BERNARDINO,1923-01-14,1923-01-20,0-130,US Nationally Notifiable Disease Surveillance System,2,1923
32913,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,1,UNITED STATES OF AMERICA,US,CALIFORNIA,US-CA,SAN FRANCISCO COUNTY,SAN FRANCISCO,1941-01-05,1941-01-11,0-130,US Nationally Notifiable Disease Surveillance System,3,1941
170703,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,CALIFORNIA,US-CA,SAN JOAQUIN COUNTY,STOCKTON,1923-01-07,1923-01-13,0-130,US Nationally Notifiable Disease Surveillance System,2,1923
192672,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,1,UNITED STATES OF AMERICA,US,CALIFORNIA,US-CA,SANTA BARBARA COUNTY,SANTA BARBARA,1923-01-21,1923-01-27,0-130,US Nationally Notifiable Disease Surveillance System,1,1923
298889,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,CALIFORNIA,US-CA,SANTA CLARA COUNTY,PALO ALTO,1915-02-28,1915-03-06,0-130,US Nationally Notifiable Disease Surveillance System,1,1915
219831,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,CALIFORNIA,US-CA,SANTA CLARA COUNTY,SAN JOSE,1923-03-18,1923-03-24,0-130,US Nationally Notifiable Disease Surveillance System,1,1923
308129,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,CALIFORNIA,US-CA,SANTA CRUZ COUNTY,SANTA CRUZ,1923-08-12,1923-08-18,0-130,US Nationally Notifiable Disease Surveillance System,1,1923
196399,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,1,UNITED STATES OF AMERICA,US,CALIFORNIA,US-CA,SOLANO COUNTY,VALLEJO,1923-06-03,1923-06-09,0-130,US Nationally Notifiable Disease Surveillance System,1,1923
316497,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,1,UNITED STATES OF AMERICA,US,CALIFORNIA,US-CA,TRINITY COUNTY,LEWISTON,1924-09-14,1924-09-20,0-130,US Nationally Notifiable Disease Surveillance System,0,1924
223710,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,COLORADO,US-CO,BOULDER COUNTY,BOULDER,1923-12-02,1923-12-08,0-130,US Nationally Notifiable Disease Surveillance System,1,1923
71265,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,1,UNITED STATES OF AMERICA,US,COLORADO,US-CO,DENVER COUNTY,DENVER,1941-01-05,1941-01-11,0-130,US Nationally Notifiable Disease Surveillance System,6,1941
276026,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,1,UNITED STATES OF AMERICA,US,COLORADO,US-CO,EL PASO COUNTY,COLORADO SPRINGS,1941-01-05,1941-01-11,0-130,US Nationally Notifiable Disease Surveillance System,2,1941
299635,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,COLORADO,US-CO,EL PASO COUNTY,FOUNTAIN,1913-04-06,1913-04-12,0-130,US Nationally Notifiable Disease Surveillance System,1,1913
296405,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,COLORADO,US-CO,LAS ANIMAS COUNTY,TRINIDAD,1922-02-26,1922-03-04,0-130,US Nationally Notifiable Disease Surveillance System,1,1922
170078,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,1,UNITED STATES OF AMERICA,US,COLORADO,US-CO,PUEBLO COUNTY,PUEBLO,1941-01-05,1941-01-11,0-130,US Nationally Notifiable Disease Surveillance System,0,1941
245446,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,1,UNITED STATES OF AMERICA,US,COLORADO,US-CO,WELD COUNTY,GREELEY,1923-01-21,1923-01-27,0-130,US Nationally Notifiable Disease Surveillance System,1,1923
207087,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,1,UNITED STATES OF AMERICA,US,CONNECTICUT,US-CT,FAIRFIELD COUNTY,BRIDGEPORT,1941-01-05,1941-01-11,0-130,US Nationally Notifiable Disease Surveillance System,0,1941
313052,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,CONNECTICUT,US-CT,FAIRFIELD COUNTY,DANBURY,1923-07-22,1923-07-28,0-130,US Nationally Notifiable Disease Surveillance System,1,1923
314719,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,CONNECTICUT,US-CT,FAIRFIELD COUNTY,FAIRFIELD,1923-03-18,1923-03-24,0-130,US Nationally Notifiable Disease Surveillance System,3,1923
266665,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,CONNECTICUT,US-CT,FAIRFIELD COUNTY,GREENWICH,1923-01-28,1923-02-03,0-130,US Nationally Notifiable Disease Surveillance System,1,1923
295546,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,1,UNITED STATES OF AMERICA,US,CONNECTICUT,US-CT,FAIRFIELD COUNTY,NORWALK,1923-02-25,1923-03-03,0-130,US Nationally Notifiable Disease Surveillance System,1,1923
235010,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,CONNECTICUT,US-CT,FAIRFIELD COUNTY,STAMFORD,1922-02-26,1922-03-04,0-130,US Nationally Notifiable Disease Surveillance System,1,1922
171957,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,CONNECTICUT,US-CT,HARTFORD COUNTY,BRISTOL,1923-02-25,1923-03-03,0-130,US Nationally Notifiable Disease Surveillance System,1,1923
189899,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,1,UNITED STATES OF AMERICA,US,CONNECTICUT,US-CT,HARTFORD COUNTY,ENFIELD,1894-07-16,1894-07-22,0-130,US Nationally Notifiable Disease Surveillance System,1,1894
279107,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,1,UNITED STATES OF AMERICA,US,CONNECTICUT,US-CT,HARTFORD COUNTY,HARTFORD,1941-01-12,1941-01-18,0-130,US Nationally Notifiable Disease Surveillance System,1,1941
286250,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,CONNECTICUT,US-CT,HARTFORD COUNTY,MANCHESTER,1923-01-07,1923-01-13,0-130,US Nationally Notifiable Disease Surveillance System,1,1923
273725,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,CONNECTICUT,US-CT,HARTFORD COUNTY,NEW BRITAIN,1923-05-20,1923-05-26,0-130,US Nationally Notifiable Disease Surveillance System,6,1923
207135,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,CONNECTICUT,US-CT,MIDDLESEX COUNTY,MIDDLETOWN,1918-12-22,1918-12-28,0-130,US Nationally Notifiable Disease Surveillance System,1,1918
310844,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,CONNECTICUT,US-CT,NEW HAVEN COUNTY,ANSONIA,1920-01-11,1920-01-17,0-130,US Nationally Notifiable Disease Surveillance System,2,1920
314062,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,CONNECTICUT,US-CT,NEW HAVEN COUNTY,DERBY,1922-01-22,1922-01-28,0-130,US Nationally Notifiable Disease Surveillance System,1,1922
298793,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,CONNECTICUT,US-CT,NEW HAVEN COUNTY,MERIDEN,1923-01-21,1923-01-27,0-130,US Nationally Notifiable Disease Surveillance System,1,1923
314898,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,CONNECTICUT,US-CT,NEW HAVEN COUNTY,MILFORD,1923-01-14,1923-01-20,0-130,US Nationally Notifiable Disease Surveillance System,1,1923
184246,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,1,UNITED STATES OF AMERICA,US,CONNECTICUT,US-CT,NEW HAVEN COUNTY,NAUGATUCK,1895-02-10,1895-02-16,0-130,US Nationally Notifiable Disease Surveillance System,1,1895
107524,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,1,UNITED STATES OF AMERICA,US,CONNECTICUT,US-CT,NEW HAVEN COUNTY,NEW HAVEN,1941-01-05,1941-01-11,0-130,US Nationally Notifiable Disease Surveillance System,0,1941
312205,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,CONNECTICUT,US-CT,NEW HAVEN COUNTY,ORANGE,1920-02-22,1920-02-28,0-130,US Nationally Notifiable Disease Surveillance System,2,1920
186810,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,CONNECTICUT,US-CT,NEW HAVEN COUNTY,WALLINGFORD,1919-08-03,1919-08-09,0-130,US Nationally Notifiable Disease Surveillance System,1,1919
274065,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,CONNECTICUT,US-CT,NEW HAVEN COUNTY,WATERBURY,1923-01-07,1923-01-13,0-130,US Nationally Notifiable Disease Surveillance System,1,1923
252955,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,CONNECTICUT,US-CT,NEW LONDON COUNTY,NEW LONDON,1923-02-18,1923-02-24,0-130,US Nationally Notifiable Disease Surveillance System,1,1923
276310,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,CONNECTICUT,US-CT,NEW LONDON COUNTY,NORWICH,1923-04-01,1923-04-07,0-130,US Nationally Notifiable Disease Surveillance System,1,1923
314559,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,1,UNITED STATES OF AMERICA,US,CONNECTICUT,US-CT,NEW LONDON COUNTY,STONINGTON,1923-08-19,1923-08-25,0-130,US Nationally Notifiable Disease Surveillance System,1,1923
189902,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,1,UNITED STATES OF AMERICA,US,CONNECTICUT,US-CT,WINDHAM COUNTY,PUTNAM,1895-01-06,1895-01-12,0-130,US Nationally Notifiable Disease Surveillance System,1,1895
274194,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,CONNECTICUT,US-CT,WINDHAM COUNTY,WILLIMANTIC,1920-04-11,1920-04-17,0-130,US Nationally Notifiable Disease Surveillance System,2,1920
127975,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,1,UNITED STATES OF AMERICA,US,DELAWARE,US-DE,NEW CASTLE COUNTY,WILMINGTON,1941-01-05,1941-01-11,0-130,US Nationally Notifiable Disease Surveillance System,0,1941
38806,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,1,UNITED STATES OF AMERICA,US,DISTRICT OF COLUMBIA,US-DC,WASHINGTON COUNTY,WASHINGTON,1941-01-05,1941-01-11,0-130,US Nationally Notifiable Disease Surveillance System,10,1941
190503,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,FLORIDA,US-FL,DUVAL COUNTY,JACKSONVILLE,1918-01-13,1918-01-19,0-130,US Nationally Notifiable Disease Surveillance System,4,1918
120386,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,1,UNITED STATES OF AMERICA,US,FLORIDA,US-FL,ESCAMBIA COUNTY,PENSACOLA,1904-05-15,1904-05-21,0-130,US Nationally Notifiable Disease Surveillance System,1,1904
129052,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,1,UNITED STATES OF AMERICA,US,FLORIDA,US-FL,HILLSBOROUGH COUNTY,TAMPA,1941-01-05,1941-01-11,0-130,US Nationally Notifiable Disease Surveillance System,1,1941
215988,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,1,UNITED STATES OF AMERICA,US,FLORIDA,US-FL,HILLSBOROUGH COUNTY,WEST TAMPA,1905-04-23,1905-04-29,0-130,US Nationally Notifiable Disease Surveillance System,1,1905
315940,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,1,UNITED STATES OF AMERICA,US,FLORIDA,US-FL,MIAMI-DADE,MIAMI,1941-01-05,1941-01-11,0-130,US Nationally Notifiable Disease Surveillance System,1,1941
209059,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,FLORIDA,US-FL,MONROE COUNTY,KEY WEST,1923-09-16,1923-09-22,0-130,US Nationally Notifiable Disease Surveillance System,4,1923
316444,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,1,UNITED STATES OF AMERICA,US,FLORIDA,US-FL,PINELLAS COUNTY,ST. PETERSBURG,1941-04-06,1941-04-12,0-130,US Nationally Notifiable Disease Surveillance System,2,1941
160637,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,GEORGIA,US-GA,BIBB COUNTY,MACON,1923-01-07,1923-01-13,0-130,US Nationally Notifiable Disease Surveillance System,2,1923
83993,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,1,UNITED STATES OF AMERICA,US,GEORGIA,US-GA,CHATHAM COUNTY,SAVANNAH,1941-01-05,1941-01-11,0-130,US Nationally Notifiable Disease Surveillance System,1,1941
313938,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,GEORGIA,US-GA,CLARKE COUNTY,ATHENS,1920-07-25,1920-07-31,0-130,US Nationally Notifiable Disease Surveillance System,1,1920
311598,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,GEORGIA,US-GA,DOUGHERTY COUNTY,ALBANY,1923-03-04,1923-03-10,0-130,US Nationally Notifiable Disease Surveillance System,1,1923
262008,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,GEORGIA,US-GA,FLOYD COUNTY,ROME,1923-01-28,1923-02-03,0-130,US Nationally Notifiable Disease Surveillance System,1,1923
215933,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,1,UNITED STATES OF AMERICA,US,GEORGIA,US-GA,FULTON COUNTY,ATLANTA,1941-01-05,1941-01-11,0-130,US Nationally Notifiable Disease Surveillance System,0,1941
304117,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,GEORGIA,US-GA,FULTON COUNTY,BIRMINGHAM,1917-12-23,1917-12-29,0-130,US Nationally Notifiable Disease Surveillance System,9,1917
152545,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,1,UNITED STATES OF AMERICA,US,GEORGIA,US-GA,GLYNN COUNTY,BRUNSWICK,1941-01-05,1941-01-11,0-130,US Nationally Notifiable Disease Surveillance System,0,1941
314850,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,GEORGIA,US-GA,LOWNDES COUNTY,VALDOSTA,1923-01-14,1923-01-20,0-130,US Nationally Notifiable Disease Surveillance System,1,1923
262784,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,GEORGIA,US-GA,MUSCOGEE COUNTY,COLUMBUS,1920-01-11,1920-01-17,0-130,US Nationally Notifiable Disease Surveillance System,2,1920
151289,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,GEORGIA,US-GA,RICHMOND COUNTY,AUGUSTA,1923-05-06,1923-05-12,0-130,US Nationally Notifiable Disease Surveillance System,1,1923
314163,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,GEORGIA,US-GA,TROUP COUNTY,LA GRANGE,1923-09-23,1923-09-29,0-130,US Nationally Notifiable Disease Surveillance System,2,1923
229136,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,1,UNITED STATES OF AMERICA,US,HAWAII,US-HI,HONOLULU COUNTY,HONOLULU,1905-10-01,1905-10-07,0-130,US Nationally Notifiable Disease Surveillance System,5,1905
309024,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,1,UNITED STATES OF AMERICA,US,IDAHO,US-ID,ADA COUNTY,BOISE,1941-02-09,1941-02-15,0-130,US Nationally Notifiable Disease Surveillance System,0,1941
310813,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,1,UNITED STATES OF AMERICA,US,IDAHO,US-ID,BANNOCK COUNTY,POCATELLO,1923-01-21,1923-01-27,0-130,US Nationally Notifiable Disease Surveillance System,1,1923
263186,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,ILLINOIS,US-IL,ADAMS COUNTY,QUINCY,1923-03-11,1923-03-17,0-130,US Nationally Notifiable Disease Surveillance System,1,1923
204118,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,1,UNITED STATES OF AMERICA,US,ILLINOIS,US-IL,ALEXANDER COUNTY,CAIRO,1920-01-11,1920-01-17,0-130,US Nationally Notifiable Disease Surveillance System,2,1920
292182,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,ILLINOIS,US-IL,CHAMPAIGN COUNTY,CHAMPAIGN,1923-03-25,1923-03-31,0-130,US Nationally Notifiable Disease Surveillance System,7,1923
312269,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,ILLINOIS,US-IL,CHAMPAIGN COUNTY,URBANA,1923-05-13,1923-05-19,0-130,US Nationally Notifiable Disease Surveillance System,1,1923
311544,Tuberculosis,56717001,Mycobacterium tuberculosis,1773,0,UNITED STATES OF AMERICA,US,ILLINOIS,US-IL,COLES COUNTY,MATTOON,1923-01-14,1923-01-20,0-130,US Nationally Notifiable Disease Surveillance System,1,1923
